,0,Synonym %,Model ID,loss,acc,f1,precision,recall,mcc,auc,runtime,samples_per_second,steps_per_second,epoch
9,eraser_movie_10_synonym_5_2,5,2,1.3284755945205688,0.5208333333333334,0.021276595744680847,0.5,0.010869565217391304,0.004278625498405581,0.6028260869565217,2.1142,94.598,6.149,1.0
57,eraser_movie_10_synonym_5_3,5,3,1.043790578842163,0.5364583333333334,0.08247422680412371,0.8,0.043478260869565216,0.1050149179513433,0.7289130434782609,2.1001,95.234,6.19,1.0
25,eraser_movie_10_synonym_5_4,5,4,1.378542423248291,0.5364583333333334,0.08247422680412371,0.8,0.043478260869565216,0.1050149179513433,0.6082608695652174,2.1048,95.021,6.176,1.0
83,eraser_movie_10_synonym_5_5,5,5,1.2596545219421387,0.5364583333333334,0.08247422680412371,0.8,0.043478260869565216,0.1050149179513433,0.6818478260869565,2.0865,95.856,6.231,1.0
98,eraser_movie_10_synonym_5_6,5,6,1.29342520236969,0.53125,0.06249999999999999,0.75,0.03260869565217391,0.07907887840742156,0.6433695652173913,2.1007,95.208,6.189,1.0
55,eraser_movie_10_synonym_5_7,5,7,1.29714035987854,0.5260416666666666,0.042105263157894736,0.6666666666666666,0.021739130434782608,0.04728662437434604,0.5932608695652174,2.1028,95.111,6.182,1.0
20,eraser_movie_10_synonym_5_8,5,8,1.3521170616149902,0.53125,0.042553191489361694,1.0,0.021739130434782608,0.10696563746013953,0.621195652173913,2.1029,95.106,6.182,1.0
3,eraser_movie_10_synonym_5_9,5,9,1.3294038772583008,0.53125,0.09999999999999999,0.625,0.05434782608695652,0.06086956521739131,0.6682608695652174,2.0826,96.032,6.242,1.0
53,eraser_movie_10_synonym_5_10,5,10,1.3284755945205688,0.5208333333333334,0.021276595744680847,0.5,0.010869565217391304,0.004278625498405581,0.6028260869565217,2.0993,95.268,6.192,1.0
91,eraser_movie_10_synonym_5_11,5,11,1.043790578842163,0.5364583333333334,0.08247422680412371,0.8,0.043478260869565216,0.1050149179513433,0.7289130434782609,2.1185,94.406,6.136,1.0
45,eraser_movie_10_synonym_5_12,5,12,1.378542423248291,0.5364583333333334,0.08247422680412371,0.8,0.043478260869565216,0.1050149179513433,0.6082608695652174,2.1013,95.18,6.187,1.0
42,eraser_movie_10_synonym_5_13,5,13,1.2596545219421387,0.5364583333333334,0.08247422680412371,0.8,0.043478260869565216,0.1050149179513433,0.6818478260869565,2.1198,94.35,6.133,1.0
60,eraser_movie_10_synonym_5_14,5,14,1.29342520236969,0.53125,0.06249999999999999,0.75,0.03260869565217391,0.07907887840742156,0.6433695652173913,2.1161,94.512,6.143,1.0
44,eraser_movie_10_synonym_5_15,5,15,1.29714035987854,0.5260416666666666,0.042105263157894736,0.6666666666666666,0.021739130434782608,0.04728662437434604,0.5932608695652174,2.0895,95.716,6.222,1.0
5,eraser_movie_10_synonym_5_16,5,16,1.3521170616149902,0.53125,0.042553191489361694,1.0,0.021739130434782608,0.10696563746013953,0.621195652173913,2.1102,94.779,6.161,1.0
15,eraser_movie_10_synonym_5_17,5,17,1.3294038772583008,0.53125,0.09999999999999999,0.625,0.05434782608695652,0.06086956521739131,0.6682608695652174,2.1127,94.664,6.153,1.0
88,eraser_movie_10_synonym_5_18,5,18,1.3284755945205688,0.5208333333333334,0.021276595744680847,0.5,0.010869565217391304,0.004278625498405581,0.6028260869565217,2.128,93.984,6.109,1.0
54,eraser_movie_10_synonym_5_19,5,19,1.043790578842163,0.5364583333333334,0.08247422680412371,0.8,0.043478260869565216,0.1050149179513433,0.7289130434782609,2.1163,94.506,6.143,1.0
19,eraser_movie_10_synonym_10_0,10,0,1.3557642698287964,0.53125,0.042553191489361694,1.0,0.021739130434782608,0.10696563746013953,0.6618478260869565,2.1035,95.081,6.18,1.0
