,Unnamed: 0,Balancing method,Imbalance %,Model name,Model ID,loss,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval
109,109,Summarization,50,DistilBERT,4,0.4378981292247772,0.81,0.7912087912087912,0.8780487804878049,0.72,0.6302948515057396,0.9028,0.9939209163101398,5.9314227149526886e-09
110,110,Synonym replacement,50,DistilBERT,0,0.4537789821624756,0.81,0.7865168539325842,0.8974358974358975,0.7,0.6355715852811655,0.9102,0.9693020207710988,3.743934272944695e-06
111,111,Synonym replacement,50,DistilBERT,1,0.4413604736328125,0.795,0.783068783068783,0.8314606741573034,0.74,0.5936022233403534,0.9154,0.9483326481409008,2.9285883237761183e-05
112,112,Synonym replacement,50,DistilBERT,2,0.4135347008705139,0.845,0.8426395939086294,0.8556701030927835,0.83,0.6903107097448145,0.9181,0.9939209163101398,5.9314227149526886e-09
113,113,Synonym replacement,50,DistilBERT,3,0.452320784330368,0.805,0.7936507936507935,0.8426966292134831,0.75,0.613724332606128,0.8728000000000001,0.9665698144513026,5.248115668648561e-06
114,114,Synonym replacement,50,DistilBERT,4,0.5260488390922546,0.805,0.7958115183246074,0.8351648351648352,0.76,0.6124856103167199,0.8946000000000001,0.9848069807617048,2.2888344854823721e-07
115,115,Translation,50,DistilBERT,0,0.554699182510376,0.75,0.715909090909091,0.8289473684210527,0.63,0.5150535271439557,0.8499999999999999,0.9787279253249042,8.73148286763856e-07
116,116,Translation,50,DistilBERT,1,0.4106739163398742,0.81,0.806122448979592,0.8229166666666666,0.79,0.6204965959947126,0.9085,0.9786344578900984,8.884953987050218e-07
117,117,Translation,50,DistilBERT,2,0.3819135725498199,0.835,0.8307692307692308,0.8526315789473684,0.81,0.6708390735911568,0.9137,0.9848069807617048,2.2888344854823721e-07
118,118,Translation,50,DistilBERT,3,0.3938718140125274,0.815,0.8042328042328041,0.8539325842696629,0.76,0.6338464418719028,0.9125,0.9848069807617048,2.2888344854823721e-07
119,119,Translation,50,DistilBERT,4,0.378305971622467,0.82,0.8252427184466019,0.8018867924528302,0.85,0.6411551197606888,0.9163,0.9817255676437576,4.773070226572784e-07
120,120,imbalanced,50,DistilBERT,0,0.582545816898346,0.765,0.7006369426751593,0.9649122807017544,0.55,0.587043688313496,0.9078,0.9724227787367284,2.4475693922345286e-06
121,121,imbalanced,50,DistilBERT,1,0.5341309309005737,0.785,0.7514450867052024,0.8904109589041096,0.65,0.5919861758538912,0.9139,0.996965091635306,3.698093220209433e-10
122,122,imbalanced,50,DistilBERT,2,0.4413695931434631,0.795,0.7630057803468209,0.9041095890410958,0.66,0.6127576206206944,0.9248,0.9939209163101398,5.9314227149526886e-09
123,123,imbalanced,50,DistilBERT,3,0.4882340133190155,0.8,0.7752808988764044,0.8846153846153846,0.69,0.6150692760785472,0.9054,0.9908673886137244,3.010166323417494e-08
124,124,imbalanced,50,DistilBERT,4,0.4826350808143616,0.78,0.7500000000000001,0.868421052631579,0.66,0.5768599504012304,0.8963,0.9785579990862868,9.011987805011944e-07
125,125,original,100,DistilBERT,0,0.4069678485393524,0.825,0.8148148148148148,0.8651685393258427,0.77,0.6539685511376775,0.9283,0.9817255676437576,4.773070226572784e-07
0,13,paraphrase,10,DistilBERT,0,1.4472182989120483,0.51,0.0392156862745098,1.0,0.02,0.1005037815259212,0.7726000000000001,0.9393939393939392,5.484052998513666e-05
1,1,paraphrase,10,DistilBERT,1,1.075067400932312,0.565,0.2689075630252101,0.8421052631578947,0.16,0.2216803836558822,0.7689999999999999,0.9329441729782294,8.153458641949312e-05
2,11,paraphrase,10,DistilBERT,2,1.3999284505844116,0.5,0.0,0.0,0.0,0.0,0.6643999999999999,0.8924133096001623,0.0005138199647844
3,10,paraphrase,10,DistilBERT,3,1.2753738164901731,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.6531999999999999,0.8387682258247243,0.002422040003645
4,4,paraphrase,10,DistilBERT,4,1.1103579998016355,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.7503,0.9634325446441844,7.484641255317349e-06
5,0,paraphrase,20,DistilBERT,0,0.994606077671051,0.52,0.0769230769230769,1.0,0.04,0.1428571428571428,0.7695,0.9665698144513026,5.248115668648561e-06
6,6,paraphrase,20,DistilBERT,1,0.7894564270973206,0.63,0.4393939393939394,0.90625,0.29,0.3546040716334876,0.8256,0.9483326481409008,2.9285883237761183e-05
7,7,paraphrase,20,DistilBERT,2,1.0566080808639526,0.5,0.0,0.0,0.0,0.0,0.7961,0.9665698144513026,5.248115668648561e-06
8,9,paraphrase,20,DistilBERT,3,0.9158113598823548,0.56,0.2142857142857142,1.0,0.12,0.2526455763199557,0.7788,0.9207488243118472,0.0001567069981304
9,8,paraphrase,20,DistilBERT,4,0.8627076148986816,0.525,0.0952380952380952,1.0,0.05,0.1601281538050871,0.783,0.9300954818304988,9.596084056886828e-05
10,14,paraphrase,50,DistilBERT,0,0.4245577156543731,0.805,0.7891891891891891,0.8588235294117647,0.73,0.6169805196574918,0.9131,0.9817255676437576,4.773070226572784e-07
11,5,paraphrase,50,DistilBERT,1,0.4802403151988983,0.77,0.7294117647058823,0.8857142857142857,0.62,0.5660738118298358,0.9024,0.9848069807617048,2.2888344854823721e-07
12,3,paraphrase,50,DistilBERT,2,0.4273105561733246,0.815,0.7836257309941521,0.943661971830986,0.67,0.6582888815374651,0.9244,0.9817255676437576,4.773070226572784e-07
13,2,paraphrase,50,DistilBERT,3,0.5148800611495972,0.77,0.7386363636363636,0.8552631578947368,0.65,0.5562578093154722,0.8935,0.9817255676437576,4.773070226572784e-07
14,12,paraphrase,50,DistilBERT,4,0.4376142024993896,0.8,0.7849462365591398,0.8488372093023255,0.73,0.6059678724350827,0.9022,0.9939209163101398,5.9314227149526886e-09
