,Balancing method,Imbalance %,Model name,Model ID,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval,ID
135,Synonym replacement,20,LSTM,3,0.5113454045381618,0.485024154589372,0.7176554681915654,0.366289675300985,0.1271159541763946,0.5940691000386424,0.9636363636363636,7.320974809529922e-06,Synonym replacement203LSTM
136,imbalanced,20,LSTM,3,0.5881274352509741,0.5792554436900024,0.8084967320261438,0.4512951477562933,0.2741102856720503,0.7057052764545867,1.0,6.646897422032013e-64,imbalanced203LSTM
138,paraphrase,20,LSTM,3,0.550080220032088,0.5597667638483964,0.7264260768335273,0.4553082816490332,0.1637439235713679,0.6209299035381347,1.0,6.646897422032013e-64,paraphrase203LSTM
140,Contextual_word_embedding,20,LSTM,4,0.5514554205821682,0.5319301602487443,0.7722222222222223,0.4056913535206129,0.2091166766958845,0.6620226896589263,1.0,6.646897422032013e-64,Contextual_word_embedding204LSTM
141,LLama_complex,20,LSTM,4,0.5851478340591336,0.5628019323671497,0.8327376697641172,0.4250273622765414,0.290715912767892,0.7364788967458122,1.0,6.646897422032013e-64,LLama_complex204LSTM
143,LLama_simple,20,LSTM,4,0.5991290396516159,0.6027708380649557,0.7984356197352587,0.4841298796059832,0.2762570501211459,0.7184548827212116,0.9878787878787878,9.307459988955517e-08,LLama_simple204LSTM
144,ROS,20,LSTM,4,0.5768966307586523,0.6062286689419796,0.7298407806882383,0.5184239328712149,0.1887329466209684,0.6366755272608349,0.9636363636363636,7.320974809529922e-06,ROS204LSTM
146,Spelling_mistake,20,LSTM,4,0.6639926655970663,0.7108481262327417,0.7737226277372263,0.6574242977015687,0.3221315671002459,0.7137231095062374,1.0,6.646897422032013e-64,Spelling_mistake204LSTM
148,Summarization,20,LSTM,4,0.6225074490029796,0.6543546694648479,0.7702569169960475,0.568770521707406,0.2733652382694455,0.7012411654597874,0.9878787878787878,9.307459988955517e-08,Summarization204LSTM
150,Synonym replacement,20,LSTM,4,0.5402246160898464,0.50173869846001,0.7859922178988327,0.3684786574242977,0.2109138099245301,0.6720792541086151,1.0,6.646897422032013e-64,Synonym replacement204LSTM
152,imbalanced,20,LSTM,4,0.5972954389181756,0.6142700329308451,0.7712238147739802,0.5103976650857351,0.2495936976083975,0.6817280272934492,0.9878787878787878,9.307459988955517e-08,imbalanced204LSTM
154,paraphrase,20,LSTM,4,0.6176942470776988,0.6646562123039808,0.7402597402597403,0.6030645749726378,0.2373363573515104,0.6713490310852556,1.0,6.646897422032013e-64,paraphrase204LSTM
156,Contextual_word_embedding,50,LSTM,0,0.6869126747650699,0.7628472222222221,0.7277244120569725,0.8015322874863189,0.3085342319978121,0.7015444784882798,0.9878787878787878,9.307459988955517e-08,Contextual_word_embedding500LSTM
158,LLama_complex,50,LSTM,0,0.581251432500573,0.6266094420600858,0.712360594795539,0.5592849325063846,0.1717305360093611,0.6275218167202066,0.9878787878787878,9.307459988955517e-08,LLama_complex500LSTM
159,LLama_simple,50,LSTM,0,0.5828558331423332,0.6384584823202225,0.70082860880942,0.5862823786939073,0.1580905267435997,0.6108792996336851,0.9878787878787878,9.307459988955517e-08,LLama_simple500LSTM
161,ROS,50,LSTM,0,0.6277790511116205,0.672316384180791,0.7521444695259594,0.6078073695731485,0.2603579857858394,0.6849323264435427,1.0,6.646897422032013e-64,ROS500LSTM
162,Spelling_mistake,50,LSTM,0,0.6089846435938574,0.6462048942347574,0.7486785199423354,0.5684056913535206,0.2379896611199244,0.6742779080600517,1.0,6.646897422032013e-64,Spelling_mistake500LSTM
163,Summarization,50,LSTM,0,0.5482466192986477,0.6038190954773869,0.6723366159355416,0.5479751915359358,0.0934736898656079,0.5682980641498621,0.8666666666666665,0.0011735381801554,Summarization500LSTM
165,Synonym replacement,50,LSTM,0,0.5821682328672931,0.590060715088824,0.7690504103165299,0.4786574242977016,0.2334756704894812,0.6747566635521881,0.9636363636363636,7.320974809529922e-06,Synonym replacement500LSTM
167,imbalanced,50,LSTM,0,0.6245702498280999,0.6522292993630573,0.7800914169629254,0.5603794235680408,0.2849654402795112,0.6968074195067728,1.0,6.646897422032013e-64,imbalanced500LSTM
168,paraphrase,50,LSTM,0,0.6557414622965849,0.7176691729323308,0.7402093834819697,0.6964611455673112,0.278575352533292,0.6931478696561463,0.9878787878787878,9.307459988955517e-08,paraphrase500LSTM
169,Contextual_word_embedding,50,LSTM,1,0.6740774696309878,0.7426710097719871,0.7368043087971274,0.7486318861729296,0.2984431655381883,0.7108791421853204,1.0,6.646897422032013e-64,Contextual_word_embedding501LSTM
