,Unnamed: 0,Balancing method,Imbalance %,Model name,Model ID,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval
42,7,Contextual_word_embedding,20,SVM,0,0.525,0.0952380952380952,1.0,0.05,0.1601281538050871,0.8881,0.9509918346667656,2.378368464778239e-05
43,49,LLama,20,SVM,0,0.645,0.4661654135338345,0.9393939393939394,0.31,0.39064546988645,0.8731,0.9848069807617048,2.2888344854823721e-07
44,59,LLama_complex,20,SVM,0,0.645,0.4661654135338345,0.9393939393939394,0.31,0.39064546988645,0.8817,0.9726488698881034,2.3689349006384747e-06
45,75,ROS,20,SVM,0,0.53,0.1132075471698113,1.0,0.06,0.1758631145281647,0.8925,0.960490759014502,1.0163235882999593e-05
46,22,Spelling_mistake,20,SVM,0,0.53,0.1132075471698113,1.0,0.06,0.1758631145281647,0.8902,0.996965091635306,3.698093220209433e-10
47,28,Summarization,20,SVM,0,0.51,0.1090909090909091,0.6,0.06,0.0458831467741123,0.7756000000000001,0.9755335594323594,1.5221342547933937e-06
48,90,Synonym replacement,20,SVM,0,0.53,0.1132075471698113,1.0,0.06,0.1758631145281647,0.894,0.9757575757575756,1.4675461874042197e-06
49,56,imbalanced,20,SVM,0,0.7,0.5945945945945945,0.9166666666666666,0.44,0.468292905790847,0.8911,0.9636363636363636,7.320974809529922e-06
50,125,Contextual_word_embedding,20,SVM,1,0.535,0.1308411214953271,1.0,0.07,0.1904453466268301,0.825,0.9358192003574064,6.866753113624135e-05
51,46,LLama,20,SVM,1,0.7,0.5833333333333334,0.9545454545454546,0.42,0.4828045495852676,0.8508,0.9544117035777014,1.7882674752900054e-05
52,88,LLama_complex,20,SVM,1,0.675,0.5323741007194245,0.9487179487179488,0.37,0.4416953252097554,0.85905,0.9787279253249042,8.73148286763856e-07
53,110,ROS,20,SVM,1,0.535,0.1308411214953271,1.0,0.07,0.1904453466268301,0.8308000000000001,0.9393939393939392,5.484052998513666e-05
54,95,Spelling_mistake,20,SVM,1,0.53,0.1132075471698113,1.0,0.06,0.1758631145281647,0.8277999999999999,0.9361745372672996,6.718873258402915e-05
55,16,Summarization,20,SVM,1,0.53,0.1896551724137931,0.6875,0.11,0.1105814671161728,0.7583,0.8739495859532623,0.0009460263190178
