,Balancing method,Imbalance %,Model name,Model ID,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval,ID
38,Summarization,20,SVM,0,0.8168691267476507,0.8378981537837289,0.9437842778793418,0.7533746807734404,0.6548820930677729,0.9340285728295404,1.0,6.646897422032013e-64,Summarization200SVM
43,Summarization,20,SVM,1,0.8154939261975704,0.8365482233502537,0.9432234432234432,0.7515505290040131,0.6525205783254446,0.9335088807625538,1.0,6.646897422032013e-64,Summarization201SVM
51,Summarization,20,SVM,2,0.805867522347009,0.8259708239161702,0.9454374412041392,0.733309011309741,0.639863110920136,0.9313700571897446,1.0,6.646897422032013e-64,Summarization202SVM
70,Summarization,50,SVM,0,0.8867751547100619,0.9082466567607724,0.9250851305334846,0.8920102152499088,0.7614182576851551,0.9496936729599528,1.0,6.646897422032013e-64,Summarization500SVM
76,Summarization,50,SVM,1,0.8840247536099014,0.906122448979592,0.9218573046432617,0.8909157241882525,0.7553117799187642,0.9497222385918538,1.0,6.646897422032013e-64,Summarization501SVM
38,Summarization,50,SVM,4,0.8849415539766216,0.9066220238095236,0.9248576850094876,0.8890915724188252,0.7579219482388848,0.9496647699386986,1.0,6.646897422032013e-64,Summarization504SVM
3,Synonym replacement,10,SVM,0,0.6493238597295439,0.6182634730538923,0.9779005524861878,0.4520248084640642,0.4628528122015127,0.9374655581701982,1.0,6.646897422032013e-64,Synonym replacement100SVM
11,Synonym replacement,10,SVM,1,0.6431354572541829,0.6079073281289348,0.98130081300813,0.44035023713973,0.4577520317513033,0.9389705396115342,0.9878787878787878,9.307459988955517e-08,Synonym replacement101SVM
44,Synonym replacement,20,SVM,1,0.8003667201466881,0.8170552404956942,0.9628712871287128,0.7095950383071872,0.6429314380023754,0.9467664829319226,1.0,6.646897422032013e-64,Synonym replacement201SVM
52,Synonym replacement,20,SVM,2,0.7822599129039651,0.7963994856408059,0.9651948051948052,0.6778547975191536,0.6195533728181626,0.9440567965735638,1.0,6.646897422032013e-64,Synonym replacement202SVM
71,Synonym replacement,50,SVM,0,0.8833371533348613,0.904556534783424,0.9305555555555556,0.8799708135716892,0.7567939366370088,0.9506918955928404,1.0,6.646897422032013e-64,Synonym replacement500SVM
77,Synonym replacement,50,SVM,1,0.8840247536099014,0.9051724137931036,0.930635838150289,0.8810653046333455,0.7580752034029161,0.9501799634809764,1.0,6.646897422032013e-64,Synonym replacement501SVM
86,Synonym replacement,50,SVM,3,0.881274352509741,0.902521640948438,0.9319860085503304,0.874863188617293,0.7535513837897276,0.9505434442774492,1.0,6.646897422032013e-64,Synonym replacement503SVM
94,Synonym replacement,50,SVM,4,0.8833371533348613,0.904556534783424,0.9305555555555556,0.8799708135716892,0.7567939366370088,0.950854967113535,1.0,6.646897422032013e-64,Synonym replacement504SVM
12,imbalanced,10,SVM,1,0.7607151042860417,0.7709521720052654,0.9669785360484314,0.6410069317767239,0.5921359217318455,0.9394228662710064,1.0,6.646897422032013e-64,imbalanced101SVM
