,Unnamed: 0,Balancing method,Imbalance %,Model name,Model ID,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval
112,101,ROS,50,LSTM,3,0.59,0.4383561643835616,0.6956521739130435,0.32,0.2138618054347908,0.6220999999999999,0.801256962397518,0.0053287859789657
113,37,Spelling_mistake,50,LSTM,3,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.6785,0.9878044218151566,9.53712822407752e-08
114,36,Summarization,50,LSTM,3,0.5,0.0196078431372549,0.5,0.01,0.0,0.6782,0.8739495859532623,0.0009460263190178
115,126,Synonym replacement,50,LSTM,3,0.53,0.1296296296296296,0.875,0.07,0.1530931089239486,0.6216,0.5749477440104327,0.0820831635353696
116,9,Translation,50,LSTM,3,0.5,0.0,0.0,0.0,0.0,0.7318,0.7865999889816444,0.0069499565821644
117,78,imbalanced,50,LSTM,3,0.51,0.6643835616438356,0.5052083333333334,0.97,0.0510310363079828,0.5972,0.6789276551612556,0.0308665130012985
118,100,Contextual_word_embedding,50,LSTM,4,0.62,0.4242424242424242,0.875,0.28,0.3273268353539886,0.7227000000000001,0.8936211492096949,0.0004918730190819
119,55,LLama,50,LSTM,4,0.52,0.1111111111111111,0.75,0.06,0.1020620726159657,0.6479999999999999,0.754658036542014,0.0116448725046173
120,80,LLama_complex,50,LSTM,4,0.565,0.4313725490196078,0.6226415094339622,0.33,0.1472810087762267,0.6211,0.5122046439880474,0.1301243421042787
121,43,ROS,50,LSTM,4,0.58,0.6037735849056605,0.5714285714285714,0.64,0.161164592805076,0.6195,0.743916268649307,0.0136275615080643
122,68,Spelling_mistake,50,LSTM,4,0.505,0.0571428571428571,0.6,0.03,0.0320256307610174,0.622,0.7653454385433384,0.0098824298555665
123,120,Summarization,50,LSTM,4,0.5,0.0,0.0,0.0,0.0,0.7141,0.902455801312274,0.0003515764490402
124,6,Synonym replacement,50,LSTM,4,0.51,0.0754716981132075,0.6666666666666666,0.04,0.0586210381760549,0.679,0.8902604526458922,0.0005547038179406
125,124,Translation,50,LSTM,4,0.5,0.0,0.0,0.0,0.0,0.7196,0.8303030303030302,0.0029402270232795
126,67,imbalanced,50,LSTM,4,0.565,0.4971098265895953,0.589041095890411,0.43,0.1350143909842208,0.6097999999999999,0.5122046439880474,0.1301243421042787
